agent_id,division,agent_name,owner,primary_inputs,primary_outputs,kpi,status,next_action,deployment_phase
A01,A,Orchestrator,Stephanie Core,Orchestrator requests/events from Division A workflows,"Orchestrator decisions, state updates, and telemetry events",dispatch latency; task completion; escalation count,active,"Enable production runbook, alerts, and owner on-call for this agent.",Phase 1
A02,A,Command Router,Stephanie Core,Command Router requests/events from Division A workflows,"Command Router decisions, state updates, and telemetry events",dispatch latency; task completion; escalation count,staged,Define agent-level SLO + KPI threshold and complete integration test in staging.,Phase 1
A03,A,Priority Engine,Stephanie Core,Priority Engine requests/events from Division A workflows,"Priority Engine decisions, state updates, and telemetry events",dispatch latency; task completion; escalation count,staged,Define agent-level SLO + KPI threshold and complete integration test in staging.,Phase 1
A04,A,Context Memory,Stephanie Core,Context Memory requests/events from Division A workflows,"Context Memory decisions, state updates, and telemetry events",dispatch latency; task completion; escalation count,staged,Define agent-level SLO + KPI threshold and complete integration test in staging.,Phase 1
A05,A,Policy Gate,Stephanie Core,Policy Gate requests/events from Division A workflows,"Policy Gate decisions, state updates, and telemetry events",dispatch latency; task completion; escalation count,staged,Define agent-level SLO + KPI threshold and complete integration test in staging.,Phase 1
A06,A,Kill Switch Manager,Stephanie Core,Kill Switch Manager requests/events from Division A workflows,"Kill Switch Manager decisions, state updates, and telemetry events",dispatch latency; task completion; escalation count,staged,Define agent-level SLO + KPI threshold and complete integration test in staging.,Phase 1
A07,A,Audit Logger,Stephanie Core,Audit Logger requests/events from Division A workflows,"Audit Logger decisions, state updates, and telemetry events",dispatch latency; task completion; escalation count,staged,Define agent-level SLO + KPI threshold and complete integration test in staging.,Phase 1
A08,A,Task Dispatcher,Stephanie Core,Task Dispatcher requests/events from Division A workflows,"Task Dispatcher decisions, state updates, and telemetry events",dispatch latency; task completion; escalation count,active,"Enable production runbook, alerts, and owner on-call for this agent.",Phase 1
A09,A,Exception Handler,Stephanie Core,Exception Handler requests/events from Division A workflows,"Exception Handler decisions, state updates, and telemetry events",dispatch latency; task completion; escalation count,staged,Define agent-level SLO + KPI threshold and complete integration test in staging.,Phase 1
A10,A,SLA Monitor,Stephanie Core,SLA Monitor requests/events from Division A workflows,"SLA Monitor decisions, state updates, and telemetry events",dispatch latency; task completion; escalation count,staged,Define agent-level SLO + KPI threshold and complete integration test in staging.,Phase 1
A11,A,Escalation Manager,Stephanie Core,Escalation Manager requests/events from Division A workflows,"Escalation Manager decisions, state updates, and telemetry events",dispatch latency; task completion; escalation count,staged,Define agent-level SLO + KPI threshold and complete integration test in staging.,Phase 1
A12,A,Human Approval Gate,Stephanie Core,Human Approval Gate requests/events from Division A workflows,"Human Approval Gate decisions, state updates, and telemetry events",dispatch latency; task completion; escalation count,staged,Define agent-level SLO + KPI threshold and complete integration test in staging.,Phase 1
A13,A,Board Report Generator,Stephanie Core,Board Report Generator requests/events from Division A workflows,"Board Report Generator decisions, state updates, and telemetry events",dispatch latency; task completion; escalation count,staged,Define agent-level SLO + KPI threshold and complete integration test in staging.,Phase 1
A14,A,Cross-Agent Sync,Stephanie Core,Cross-Agent Sync requests/events from Division A workflows,"Cross-Agent Sync decisions, state updates, and telemetry events",dispatch latency; task completion; escalation count,staged,Define agent-level SLO + KPI threshold and complete integration test in staging.,Phase 1
B01,B,Lead Intake Parser,GCagent,Lead Intake Parser requests/events from Division B workflows,"Lead Intake Parser decisions, state updates, and telemetry events",lead to proposal time; proposal win rate; gross margin; job aging,active,"Enable production runbook, alerts, and owner on-call for this agent.",Phase 1
B02,B,Scope Classifier,GCagent,Scope Classifier requests/events from Division B workflows,"Scope Classifier decisions, state updates, and telemetry events",lead to proposal time; proposal win rate; gross margin; job aging,staged,Define agent-level SLO + KPI threshold and complete integration test in staging.,Phase 1
B03,B,Estimator,GCagent,Estimator requests/events from Division B workflows,"Estimator decisions, state updates, and telemetry events",lead to proposal time; proposal win rate; gross margin; job aging,active,"Enable production runbook, alerts, and owner on-call for this agent.",Phase 1
B04,B,Proposal Builder,GCagent,Proposal Builder requests/events from Division B workflows,"Proposal Builder decisions, state updates, and telemetry events",lead to proposal time; proposal win rate; gross margin; job aging,active,"Enable production runbook, alerts, and owner on-call for this agent.",Phase 1
B05,B,AWO Generator,GCagent,AWO Generator requests/events from Division B workflows,"AWO Generator decisions, state updates, and telemetry events",lead to proposal time; proposal win rate; gross margin; job aging,staged,Define agent-level SLO + KPI threshold and complete integration test in staging.,Phase 1
B06,B,Scheduler,GCagent,Scheduler requests/events from Division B workflows,"Scheduler decisions, state updates, and telemetry events",lead to proposal time; proposal win rate; gross margin; job aging,active,"Enable production runbook, alerts, and owner on-call for this agent.",Phase 1
B07,B,Subcontractor Coordinator,GCagent,Subcontractor Coordinator requests/events from Division B workflows,"Subcontractor Coordinator decisions, state updates, and telemetry events",lead to proposal time; proposal win rate; gross margin; job aging,staged,Define agent-level SLO + KPI threshold and complete integration test in staging.,Phase 1
B08,B,Material Planner,GCagent,Material Planner requests/events from Division B workflows,"Material Planner decisions, state updates, and telemetry events",lead to proposal time; proposal win rate; gross margin; job aging,staged,Define agent-level SLO + KPI threshold and complete integration test in staging.,Phase 1
B09,B,Job Cost Tracker,GCagent,Job Cost Tracker requests/events from Division B workflows,"Job Cost Tracker decisions, state updates, and telemetry events",lead to proposal time; proposal win rate; gross margin; job aging,staged,Define agent-level SLO + KPI threshold and complete integration test in staging.,Phase 1
B10,B,Margin Guard,GCagent,Margin Guard requests/events from Division B workflows,"Margin Guard decisions, state updates, and telemetry events",lead to proposal time; proposal win rate; gross margin; job aging,staged,Define agent-level SLO + KPI threshold and complete integration test in staging.,Phase 1
B11,B,Change Event Monitor,GCagent,Change Event Monitor requests/events from Division B workflows,"Change Event Monitor decisions, state updates, and telemetry events",lead to proposal time; proposal win rate; gross margin; job aging,staged,Define agent-level SLO + KPI threshold and complete integration test in staging.,Phase 1
B12,B,Closeout Manager,GCagent,Closeout Manager requests/events from Division B workflows,"Closeout Manager decisions, state updates, and telemetry events",lead to proposal time; proposal win rate; gross margin; job aging,staged,Define agent-level SLO + KPI threshold and complete integration test in staging.,Phase 1
B13,B,Warranty Tracker,GCagent,Warranty Tracker requests/events from Division B workflows,"Warranty Tracker decisions, state updates, and telemetry events",lead to proposal time; proposal win rate; gross margin; job aging,staged,Define agent-level SLO + KPI threshold and complete integration test in staging.,Phase 1
B14,B,Field Photo Resolver,GCagent,Field Photo Resolver requests/events from Division B workflows,"Field Photo Resolver decisions, state updates, and telemetry events",lead to proposal time; proposal win rate; gross margin; job aging,staged,Define agent-level SLO + KPI threshold and complete integration test in staging.,Phase 1
C01,C,Permit Intake,PermitStream,Permit Intake requests/events from Division C workflows,"Permit Intake decisions, state updates, and telemetry events",permit cycle time; rejection rate; code conflict count; inspection pass rate,staged,Define agent-level SLO + KPI threshold and complete integration test in staging.,Phase 1
C02,C,Zoning Validator,PermitStream,Zoning Validator requests/events from Division C workflows,"Zoning Validator decisions, state updates, and telemetry events",permit cycle time; rejection rate; code conflict count; inspection pass rate,active,"Enable production runbook, alerts, and owner on-call for this agent.",Phase 1
C03,C,Overlay Resolver,PermitStream,Overlay Resolver requests/events from Division C workflows,"Overlay Resolver decisions, state updates, and telemetry events",permit cycle time; rejection rate; code conflict count; inspection pass rate,staged,Define agent-level SLO + KPI threshold and complete integration test in staging.,Phase 1
C04,C,Document Completeness Checker,PermitStream,Document Completeness Checker requests/events from Division C workflows,"Document Completeness Checker decisions, state updates, and telemetry events",permit cycle time; rejection rate; code conflict count; inspection pass rate,staged,Define agent-level SLO + KPI threshold and complete integration test in staging.,Phase 1
C05,C,AHJ Rules Engine,PermitStream,AHJ Rules Engine requests/events from Division C workflows,"AHJ Rules Engine decisions, state updates, and telemetry events",permit cycle time; rejection rate; code conflict count; inspection pass rate,staged,Define agent-level SLO + KPI threshold and complete integration test in staging.,Phase 1
C06,C,Inspection Sequencer,PermitStream,Inspection Sequencer requests/events from Division C workflows,"Inspection Sequencer decisions, state updates, and telemetry events",permit cycle time; rejection rate; code conflict count; inspection pass rate,staged,Define agent-level SLO + KPI threshold and complete integration test in staging.,Phase 1
C07,C,Variance Risk Scanner,PermitStream,Variance Risk Scanner requests/events from Division C workflows,"Variance Risk Scanner decisions, state updates, and telemetry events",permit cycle time; rejection rate; code conflict count; inspection pass rate,staged,Define agent-level SLO + KPI threshold and complete integration test in staging.,Phase 1
C08,C,Code Conflict Detector,PermitStream,Code Conflict Detector requests/events from Division C workflows,"Code Conflict Detector decisions, state updates, and telemetry events",permit cycle time; rejection rate; code conflict count; inspection pass rate,staged,Define agent-level SLO + KPI threshold and complete integration test in staging.,Phase 1
C09,C,GIS Refresh Worker,PermitStream,GIS Refresh Worker requests/events from Division C workflows,"GIS Refresh Worker decisions, state updates, and telemetry events",permit cycle time; rejection rate; code conflict count; inspection pass rate,staged,Define agent-level SLO + KPI threshold and complete integration test in staging.,Phase 1
C10,C,Permit Status Tracker,PermitStream,Permit Status Tracker requests/events from Division C workflows,"Permit Status Tracker decisions, state updates, and telemetry events",permit cycle time; rejection rate; code conflict count; inspection pass rate,active,"Enable production runbook, alerts, and owner on-call for this agent.",Phase 1
C11,C,Compliance Exception Queue,PermitStream,Compliance Exception Queue requests/events from Division C workflows,"Compliance Exception Queue decisions, state updates, and telemetry events",permit cycle time; rejection rate; code conflict count; inspection pass rate,staged,Define agent-level SLO + KPI threshold and complete integration test in staging.,Phase 1
C12,C,Reg D / Token Gating Check,PermitStream,Reg D / Token Gating Check requests/events from Division C workflows,"Reg D / Token Gating Check decisions, state updates, and telemetry events",permit cycle time; rejection rate; code conflict count; inspection pass rate,staged,Define agent-level SLO + KPI threshold and complete integration test in staging.,Phase 1
C13,C,Municipality Connector,PermitStream,Municipality Connector requests/events from Division C workflows,"Municipality Connector decisions, state updates, and telemetry events",permit cycle time; rejection rate; code conflict count; inspection pass rate,staged,Define agent-level SLO + KPI threshold and complete integration test in staging.,Phase 1
C14,C,Final Approval Archivist,PermitStream,Final Approval Archivist requests/events from Division C workflows,"Final Approval Archivist decisions, state updates, and telemetry events",permit cycle time; rejection rate; code conflict count; inspection pass rate,staged,Define agent-level SLO + KPI threshold and complete integration test in staging.,Phase 1
D01,D,Invoice Builder,Treasury / NBPT,Invoice Builder requests/events from Division D workflows,"Invoice Builder decisions, state updates, and telemetry events",deposit capture rate; days to collect; overdue balance; margin leakage,active,"Enable production runbook, alerts, and owner on-call for this agent.",Phase 1
D02,D,Deposit Gate,Treasury / NBPT,Deposit Gate requests/events from Division D workflows,"Deposit Gate decisions, state updates, and telemetry events",deposit capture rate; days to collect; overdue balance; margin leakage,active,"Enable production runbook, alerts, and owner on-call for this agent.",Phase 1
D03,D,Stripe Router,Treasury / NBPT,Stripe Router requests/events from Division D workflows,"Stripe Router decisions, state updates, and telemetry events",deposit capture rate; days to collect; overdue balance; margin leakage,staged,Define agent-level SLO + KPI threshold and complete integration test in staging.,Phase 1
D04,D,USDC Router,Treasury / NBPT,USDC Router requests/events from Division D workflows,"USDC Router decisions, state updates, and telemetry events",deposit capture rate; days to collect; overdue balance; margin leakage,staged,Define agent-level SLO + KPI threshold and complete integration test in staging.,Phase 1
D05,D,Collections Agent,Treasury / NBPT,Collections Agent requests/events from Division D workflows,"Collections Agent decisions, state updates, and telemetry events",deposit capture rate; days to collect; overdue balance; margin leakage,active,"Enable production runbook, alerts, and owner on-call for this agent.",Phase 1
